"","text"
"404","satriohendri tenang sat jokowi pasti akan dukung anies tp anies marsela bukn anies ini  "
"405","arsenwira bambangwaluyo murisaij mariodevan pandji tetep aje pihak lu tuh nir empati di tmbh jokowi tuh msih presiden aktif tpi udh kampanye dan dukung salah satu paslon gada etika namanya itu klo gitu dilepas dulu jabatan presiden nya baru lanjut berkampanye"
"406","rantajawi jayak maryshelparaiso itu semua berkat kinerja pak jokowi yang sangat baik masyarakat bangga jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"407","misalnya si mamak maksa anaknya jadi capres dan jokowi ga setuju kan tinggal bawa pilihan dan gerbongnya ke gerindra ato golkar kenapa malah anjink cikeas yg parno "
"408","zebolady berdoa saja moga cepet tenggelamnyatu partaikami percaya jokowi "
"409","akhirnya ada gunanya juga kabel udara fo yg malang melintamg paling tdk untuk menahan pohon roboh spt ini  "
"410","tvonenews jangan pilih pemimpin hobby blusukan drama pencitraan dgn biaya besar tapi tidak ada hasil hanya menghasilkan utang menumpuk cc jokowi kspgoid kemensetnegri"
"411","ketahanan pangan indonesia meningkat di era pak jokowi "
"412","naturalmichin partaisocmed jokowi blokir genti  follow unfollow mute ras blok adalah hak mutlak setiap akun untuk menjamin kenyamanan penggunanya yang bebas dipergunakan tampa perlu ditanya alasannya"
"413","jokowi telah lakukan vaksin booster indovac produksi dalam negeri endemicovid indonesiasehatindonesiahebat beritacovid ppkm "
"414","jokowi raja kibul muka lo kaya bool monyet"
"415","jokowi telah lakukan vaksin booster indovac produksi dalam negeri endemicovid indonesiasehatindonesiahebat beritacovid ppkm "
"416","jokowi telah lakukan vaksin booster indovac produksi dalam negeri endemicovid indonesiasehatindonesiahebat beritacovid ppkm "
"417","jokowi telah lakukan vaksin booster indovac produksi dalam negeri endemicovid indonesiasehatindonesiahebat beritacovid ppkm "
"418","mufqifathino biasanya aku juga ikut kalo nankatsu pernah ngechant jokowi maruf juga malah"
"419","seruanhl ternyata ajakan untuk melanggar konstitusi nkridprri fpksdprri ini udah bisa menjadi bahan untuk memakzulkan jokowi "
"420","repdem pak jokowi jadilah presiden rakkyat jangan jadi presiden relawan "
"421","aripras ocongboyy ajakan pakde utk pilih anies sbg pemimpin dukungan jk dan kadrun aniesbaswedan aniesfor ganjarpranowo jokowi sutanmangara bachrumachmadi oposisicerdas geloraco pakjk mdyasmara tatakujiyati ekowboy musniumar musniumarr geiszchalifah sbyudhoyono sctv"
"422","serius indonesia isinya cuma pak jokowi pak prabowo pak ganjarpranowo dan pak aniesbaswedan capres"
"423","abanward kalau panik gitu baru relawan jokowi"
"424","mantap pak presiden jokowi makin hebat jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur "
"425","restycayah keren relawan jokowi itu di gbk kan"
"426","bobbietrussell maryshelparaiso mantap terima kasih pak jokowi salam dari surabaya jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"427","jokowi kumpulkan relawan di gbk pdi perjuangan geram "
"428","diduga "
"429","ackmalmajidd demangsinuhun restycayah jokowi sip berarti setuju periode yo "
"430","selepas itu presiden jokowi mengajak para wartawan untuk berkeliling tahura dan melihat mangrove presiden memperkenalkan langsung spesies mangrove yang ada di area pembibitan antara lain rhizopora apiculata bruguiera gymnorrhiza dan celiops tagal "
"431","jokowi iya ya tumben ga banyak yg muji dimari"
"432","chalsofrivia presidenmerdeka sayasetiankri tanmarm jokowi acara nipu ibu ibu ngapain kejang kejang"
"433","relawan jokowi berkumpul di gbk senayan dinas lingkungan hidup dki jakarta mengumpulkan ton sampah dalam acara yang digelar selama sehari itu "
"434","restycayah kaesangp gibrantweet jokowi divhumaspolri puspentni mohmahfudmd fifacom pssi kelakuan gerombolan khilafuck mohmahfudmd majelisulamaid muipusat kemenagri dprri itjenkemdikbud kemkominfo polhukamri kemendagriri jokowi nadiemmakarim kemdikbudri nadirs divhumaspolri komnasham aagym bnptri kpaiofficial listyosigitp"
"435","itu bukti bahwa anies lebih hebat dari jokowi karena hanya anies yang bisa ngajak masyarakat sholat di lapangan bola "
"436","cebongmilitan jokowi susan nakula bungkustukang firzahusaininc ngkongroses vitaavp tuakbeerunited candrasmara pnlh exanaklolina deditelaumbanu perpanjang wajib polhukamri pdiperjuangan kspgoid"
"437","veelaarhie sakarep mu gusarep neng planet pluto yoo rak onok ngaruh ne kokkami tetap percoyo karo pak jokowi gus "
"438","alvinlie jokowi kalo ini sih setujuuuu"
"439","semoga tanda jokowi longsor "
"440","nadegemarzan putridrupadi maryshelparaiso mantap terima kasih pak jokowi salam dari surabaya jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"441","jokowi rakyat relawan"
"442","restycayah jokowi divhumaspolri puspentni pssi fifacom  ini pasti habis di ewek ga di bayar"
"443","karsono niluhdjelantik jokowi kalau mau pansos jgn membodohkan diri spt ini tunjukkan kepintarannya"
"444","rozalisubhan syarman bapak presidenku sampai msh tetep bpk jokowi merdeka "
"445","jelang pilpres jokowi berpesan agar masyarakat memilih pemimpin yang senang turun ke bawah dan mau merasakan keringat rakyat selengkapnya "
"446","tifsembiring itu yg masih teriak jokowi harus mundur apa gak malu juga"
"447","engineerpajak bangsatkeren restycayah msaiddidu jokowi klo yang berbau bokep sudah pasti ganjarist "
"448","si paling mikirin rakyat "
"449","gibrantweet massampekan ke pak jokowi untuk menindak tambang pasir ilegal yg ada di kabklatenlebih dari titik lokasitp dibiarkanlistyosigitp ganjarpranowo"
"450","mieheru jokowi di cuma pengen nunjukin kalo dia tanpa pdi masi ada relawan"
"451","mantap pak jokowi lanjutkan demi kemajuan bangsa indonesia jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur "
"452","andasuhandaa jokowi parah banget ini presiden kita jokowi gak punya hati emak sudah sepuh njenengan begitu kan pak"
"453","restycayah niluhdjelantik jokowi pagi siang malam mikirin aniesbaswedan udah pakai obat koreng merk apa hari ini sayang "
"454","tifsembiring itu bukti mereka merasa nyaman om tifsembiring dgn kepemimpinan jokowi cuma kan om sdh tau apa jawaban pakde jokowi dia tahu dan dia mengerti jelas undang mengatur hal tersebutdan cukup periode sesuai konstitusi yg mengatur jabatan presiden begitu ommaaf klo slh"
"455","jokowi selamat sore pak jokowi maaf mau tanya sdh berapa triliun untung dari penjualan bbm ditengah harga minyak dunia turun anda menaikan bbm pemimpin nyusahin rakyat akibat salah kebijakan"
"456","ntt basis jokowi ganjar  "
"457","direktur eksekutif indikator politik burhanuddin muhtadi dalam paparannya menyampaikan sebanyak persen publik menyebut penegakan hukum baik dengan rincian persen mengatakan sangat baik dan persen menyatakan baik "
"458","karsono niluhdjelantik jokowi lha anda nanggapi apa baca dong twi nya jgn asal bunyi tp otak kosong udah jelas ditulis cari pemimpin yg mikirin rakyat keliatan dr kerutan di wajahnya ada jugq pemimpin kalimat ini saja anda tdk paham sokan merasa pintar"
"459","andiarief justru narasimu yang dari kemarin sibuk membahas apa yang dia lakukan itu menunjukan jokowi itu kuat nyatanya dia hanya gitu saja dibahas ngak habis habis beda ama yang katanya mau turun gunung lah ini lah itu lah"
"460"," ton sampah usai acara relawan politikus pdip cederai wibawa jokowi "
"461","puspitaeka aparat yg takut ormas preman layak dicopot listyosigitp jokowi mohmahfudmd divhumaspolri"
"462","pemerintahan jokowi terus memajukan bangsa indonesia jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur "
"463","jasmerahhh lakienjoy andisinulingga jokowi yoii bro apalagi jenggot bawah nya wwkwkkwk "
"464","restycayah jokowi niluhdjelantik kalau ngebahas koreng terus jadi saya gak doyan makan lain kali kirim obat koreng dong kasian"
"465","jayak maryshelparaiso keren memang presiden jokowi masyarakat mendukung kinerja pemerintahan jokowi jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"466","restycayah niluhdjelantik jokowi gelar tiker  minum kopi sambil makan koreng pisang "
"467","kenapabingung bangsatkeren restycayah msaiddidu jokowi cocok tuh dia jd ganjarist"
"468","para ofisial media perwakilan dari negara g mengaku senang karena tanpa aturan protokoler yang ketat mereka bisa berbincang langsung dengan presiden jokowi salah satunya athi geleba dari afrika selatan yang sangat terkesan dengan keramahan presiden jokowi "
"469","nanikkicrut jokowi hampa mungkin kata yg tepat "
"470","antisipasi krisis pangan presiden jokowi tetapkan bahan pangan untuk dikelola pemerintah jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur "
"471","iskandarv ampasstt vivacoid kalau melihat dengan mata dan hati yg bersih baru tampa apa yg di kerhakan jokowi sekarang jawab jokoei apa yg dikibulin apa yg dibohongin coba jawab kamu bisa bicara tapi tidak mengerti apa yg kamu bicarakan sendiri coba jawab apa yg di bohongin jokowi"
"472","tambang ilegal dikab klaten terutama di keckemalangaparat dan dinas terkait menutup matalebih dari titik tambang ilegall jokowi ganjarpranowo mohmahfudmd listyosigitp kompastv gibrantweet detikcom tvonenews matanajwa"
"473","emak adalah kunci kemenangan ayo emak adik kakak sista jangan anggap remeh kekuatanmu bapak mendukung perjuangan kalian "
"474","abdulkh hebat jokowi the best president of indonesia"
"475","semiotika jokowi tentang wajah berkerut amp rambut putih "
"476","kita memiliki spesies mangrove di sini kata presiden jokowi "
"477","andisinulingga jokowi rekam jejaknya aja kayak gini trus apa yg bisa diandalkan dari bacotan spt ini "
"478","bradharizz jokowi kelakuan gerombolan khilafuck mohmahfudmd majelisulamaid muipusat kemenagri dprri itjenkemdikbud kemkominfo polhukamri kemendagriri jokowi nadiemmakarim kemdikbudri nadirs divhumaspolri komnasham aagym bnptri kpaiofficial listyosigitp"
"479","nadegemarzan getarannusa maryshelparaiso terima kasih pak jokowi masyarakat bangga jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"480","iknnewsantara abujibril hukumdan itukan kata elu buktinya gw gak tertipu sama jokowi si keluarga anggota rotari klub yg berbau zionis dari "
"481","jokowi suntik vaksin doses ke jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur "
"482","jokowi kp kobokan banjar elor kl banjar harjo kb berebes ad satu warga yg tidak prnh mndptkn bantuan pangan ataupun uang dari daerah stmpat mohon di cek kmbli bpk presiden jokowi kasihan bpk rohman landung nama warga yg tidak prnh mndptkn bantuan beliau satu tahun sakit "
"483","bradharizz jokowi emang pa itu apa"
"484","muhammadsaewad kelakuan gerombolan khilafuck mohmahfudmd majelisulamaid muipusat kemenagri dprri itjenkemdikbud kemkominfo polhukamri kemendagriri jokowi nadiemmakarim kemdikbudri nadirs divhumaspolri komnasham aagym bnptri kpaiofficial listyosigitp"
"485","hallo sahabat tweet dennysiregar mbroo mburatu evagintingsuka lejef jendelapublik jokowi exanaklolina uki yradianto yaqutcqoumas corbuzier mhon bntuanxmngkin saja sahabatku smuax ada kenalan kolektor brang antiksy mau jual brng ini krna sy sngat btuh skli uang "
"486","kumparan jokowi pemimpin bukan dinilai dari fisik melainkan kontribusi yg sudah diberikan yuk upgrade logika berpikir"
"487","jokowi kok msh kampanye pak e tu yg lagi musibah diurusi"
"488","relawananies maksudnya jokowi merasa yg bisa mengungguli pak anies hanya jokowi doang hadeuhhh"
"489","ayanimel wkwkwkwkwkw lo mau tau ciricuri dajal lo liat jokowi kpn berbohong"
"490","acara jokowi di gbk ya  "
"491","ferdyferandi ajakan pakde pilih anies sbg pemimpin yg kerja keras utk kadrun gerombolannya aniesbaswedan aniesfor ganjarpranowo jokowi sutanmangara bachrumachmadi oposisicerdas geloraco mdyasmara tatakujiyati ekowboy musniumar musniumarr geiszchalifah sbyudhoyono"
"492","di pendopo wantilan presiden jokowi juga berbincang dengan para wartawan kepada alex wartawan asal amerika serikat presiden menjelaskan mengenai mangrove dan tahura "
"493","jokowi ruu perkoperasian perlu diperjelas koperasi adalah bukan bumn dan bukan swasta"
"494","suharmokos nah pintar udah tau bu mge realistis ngapain gembar gemborin ganjar di kira jokowi mau kudeta pdip apa biar ganjar di caloni jadi capres"
"495","alextham bubarin aja tuh relawannya ga guna jugakira berani ga ya pak jokowi "
"496","ganjar pranowo dirujak netizen usai pamer rambut hitam buntut riuh pernyataan jokowi kok pencitraan terus "
"497","restycayah gibrantweet jokowi mereka tersenyum lebar sukses dan langsung cair  "
"498","jokowi beri kode keras dukung ganjar pranowo di pilpres pemimpin pikirkan rakyat berambut putih "
"499","sindaisalie apa kamu tahu perasaan ibuibu muslimat yg ditipu panitia penyelenggara diundang pengajian dg ulama top ternyata ditipu saat ingin keluar stadion pagar dikunci shg mereka gak bisa keluar dan para korban penipuan itu diklaim sbg relawan jokowi kurang jauh sinaumu ndoook"
"500","restycayah jokowi dennysiregar hahaa jawab den sesekali"
"501","cnnindonesia nolak di tu jok jokowi"
"502","gue bingung acara unjuk kekuatan relawan jokowi itu harusnya bikin mamak banteng dan tuan puteri susah tidur kenapa malah kebo dan sapi yg kebakaran bijik "
"503","dawiguna chusnulch jokowi neraka adalah milikmu ya narasi cerdas sedikit pak lihat subtansinya ada bencana tp kok sibuk kampanye habisin milyar lagi untuk apa jgn teriak kadrun saja"
"504","jokowi disuntuk booster ke dengan vaksin indovac produksi dalam negeri jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur "
"505","restycayah niluhdjelantik jokowi ternyata kamu orang nya perhatian bgt ama mbokdhe niluh ya res "
"506","ridwana maryshelparaiso keren memang presiden jokowi masyarakat mendukung kinerja pemerintahan jokowi jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"507","niluhdjelantik woi ga ada yg menghina jokowi tapi sebaliknya jokowilah yg menghina dirinya sendirikarena sll membohongi rakyat loe selalu ngatain orang jaga kelakuan sedangkan kelakuan loe sendiri aja loe ga jagapinter menista dan menghina org lain sekalinya dirimu yg dihina lapor polisi"
"508","jokowi yakin dengan vaksin lokal produksi dalam negeri jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur "
"509","indonesia beruntung punya presiden jokowi jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur "
"510","babeshelby tirtoid waktu ngusung jokowi di dan jg relawan jokowi berada diluar pdip"
"511","jokowi terbaik presiden jokowi sangat menghargai pondok pesantren jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur ganjarpilihanjokowi "
"512","prabowo puan untuk indonesia semakin baik prabowopuan prabowopuan prabowopuanadalahkita prabowopenerusjokowi penerusjokowi indonesiadamai "
"513","jokowi pantau kondisi pasca gempa cianjur jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur "
"514","jokowi ah tukang ngibul"
"515","ooh jadi silaturahmi jokowi dan relawan kemarin utk solidaritas cianjur juga wah keren jokowi kreatif tak melulu hidup dgn nasbung sesekali yg di undang menyumbang  "
"516","gerakan nusantara bersatu dibawah komando jokowi jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur "
"517","oerangb andiarief gk pa jg tp jangan bawa presidenbilang sj jokowi pribadi pengen blabla gitu sj kok repot"
"518","jokowi siap bergerak untuk tingkatkan ketahanan pangan nasional jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur "
"519","inilah salah satu warisan spektakuler jokowi infrastruktur mangkrak menyusul utang yang mangkrak nasib ikn nusantara kala jokowi sudah lengser bakal jadi proyek mangkrak "
"520","nyimaheswari wah makasih kompas masukan buat relawan jokowi buat lebih rapi dan bersih walaupun jumlah sampah dikali deh kayaknya kompaassss"
"521","jokowi telah sertifikatkan tanah wakaf dan rumah ibadah jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur "
"522","minta waktu dia untuk ketemu aja susah bangett yaaa kaya minta ttd jokowi"
"523","jokowi majukan kesehatan indonesia jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur ganjarpilihanjokowi "
"524","putridrupadi rantajawi maryshelparaiso mantap terima kasih pak jokowi salam dari surabaya jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"525","oretorat yurissasamosir jokowi asal tidak ada kecurangan ya"
"526","restycayah niluhdjelantik jokowi lanjut perangnya jang pepet terus"
"527","bersama presiden jokowi membangun negeri jokowipresidenku "
"528","imbottt helmifelis jokowi klo ngomong yg jelas di tipu bagaimana aq fine fine aja hidupku usahaku tambah lancar ke mana cepet transportasi nya makin beragam dan maju kereta api makin nyaman mewah jg jln di desaku beraspal semua"
"529","rexychristian nasdem jokowi sp itu tebal muka semoga nasdrun di koma"
"530","andiarief jokowi yes mantap pilihan pilpres nanti setelah pak jokowi memberikan clue pilpres ada rambut putih setelah pak prabowo kini pak jokowi memberi ciri rambut putih yaitu pak ganjar mngkn mereka akan jadi capres cawapres"
"531","andisinulingga jokowi emang si andi diminta pendapatnyajo di rekern ah tukang nyinyir ini"
"532","tips menyesatkan jokowi ganjar tolak diendorse "
"533","sehat terus pak jokowi jokowi kerja untuk negeri presiden jokowi sangat menghargai pondok pesantren jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur ganjarpilihanjokowi "
"534","jokowi bergerak tingkatkan ketahan pangan nasional jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur ganjarpilihanjokowi "
"535","gerombolan tulang lunak gak punya tempat di rusia jokowisampahmalam minggu m "
"536","mbroo terus kl indonesia nggak baik saja nggak boleh makan gitu bela jokowi gpp tapi jangan terlalu berlebihanjokowi juga banyak kurangnya saat jadi presiden"
"537","taufikdamas kan temenan pak jokowi ya begitu dong kiai lupa ya "
"538"," kejadian mencengangkan saat acara relawan jokowi di gbksenayan "
"539","parahmenjual agamatapi yg diberikan sebuah kemaksiatan dan kemunafikan serta pengkhianatan terhadap konstitusi "
"540","herysbahri wongndeso msaiddidu itu lah ciri dari manusia pintar tidak menggunakan emosi seperti jokowi ke pak anis baswedan terlihat dari gesture seperti ga boleh orang berprestasi lihat saat persija juara liga  nampak pak anis tidak boleh tampil"
"541","yanharahap bang ruhutsitompul ferdinandhutah knp ya kader pdemokrat lbh suka nyinyirin presiden jokowi pdhl kan pak jokowi gak akan bs maju lg hebat ya ternyata si tukang kayu msh aja ditakuti sm partai yg di bidani jenderal bintang dan mantan presiden pula lagi"
"542","jokowi rambut low gak putih jokgak mikirin rakyat ya"
"543","newsarrahmah jokowi gibrantweet kaesangp restycayah restycayaah divhumaspolri ccicpolri listyosigitp dennysiregar ulinyusron nama jokowi bukan cuma presiden aja bang"
"544","msaiddidu menurut pak mohmahfudmd dan pak jokowi seorang mantan pejabat yg seperti gimana "
"545","ya allah  kok hanya di tonton bagaimana mental masyarakat bisa begini apa begini hasil revolusi mental itu adinda gibrantweet bisa bantu viralkan pak jokowi please hatiku sangat tersayat tvonenews "
"546","sorot nusantara bersatu di gbk hasto kristiyanto manfaatkan kebaikan presiden jokowi "
"547","democrazymedia gpp saat banyak pengangguran dan gaji buruh sangat rendah gegara omnibus law bikinan pemerintahan pak jokowi uang rb sangat bermanfaat"
"548","hrsnya berani kalau tdk swpanjang jaman ginian terus jika simpatisan khilafah dn wahabiss alergi pancasila dan tahlilan ada divhumaspolri listyosigitp polhukamri puspentni jokowi kspgoid "
"549","ada hal menarik pada hari kedua rangkaian konferensi tingkat tinggi ktt g di bali rabu november jokowi "
"550","smslalghozali malah hasto mengkritik acara kemarin "
"551","putridrupadi maryshelparaiso kebijakan presiden jokowi kami bangga dengan pak dhe jokowi jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"552","kangkhoiry sasantoso restycayah jokowi divhumaspolri puspentni pssi fifacom ini bus nya ada wkwk "
"553","purnomowardoyo ajaran dan ilmu anies yg tinggi sbg contoh pemimpin yg rendah hati aniesbaswedan aniesfor ganjarpranowo jokowi sutanmangara bachrumachmadi oposisicerdas geloraco mdyasmara tatakujiyati ekowboy musniumar musniumarr geiszchalifah sbyudhoyono"
"554","dari speechnya ini jokowi paham betul kalau relawan dan simpatisannya adalah orangorang goblok "
"555","presiden jokowi memang seorang pemimpin yang berhasil jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur ganjarpilihanjokowi "
"556","maryshelparaiso pakde jokowi hebat"
"557","usai acara relawan jokowi total ton sampah kotori gbk "
"558","jokowi sudah melampaui kewenangan wajar jika kader pdip tersinggung "
"559","calon penerus pak jokowi  "
"560","garagara pidato pak jokowi kami berdua aprukaprukan ke pasar anyar ngecat rambut di salon jonih  "
"561","sqvyglunfmnor jokowi gitu juga lulusan asli ugm bro  katanya"
"562","bachrumachmadi ternyata yang dibilang pak jokowi itu yang pake kacamata  "
"563","karena jokowi tetap kampanye periode maka sebaiknya wilayah wilayah berkontribusi besar utk pembangunan indonesia utk bersatu meredesign indonesia tidak banyak manfaat jika begini terus "
"564","jokowi loe gak malu pak"
"565","jokowi lestarikan alam jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur ganjarpilihanjokowi "
"566","maryshelparaiso mantap pakde jokowi"
"567","zibatajul andisinulingga jokowi siaapa yanh intervensi  pak jokowi hanya ngasih arahan ke pendukungnya kok emagnya di gbk temu kangen partai  itu temu kangen pendukung jokowi gimana sih ente"
"568","mdyasmara ha ha ha itu mau nya jokowi di rendah kan relawan nya atau jokowi mau membuat kekuatan baru di luar pdip apa pdip nggk nyadar"
"569","aniesbaswedan garagara pidato pak jokowi kami berdua aprukaprukan ke pasar anyar ngecat rambut di salon jonih  "
"570","pdip sesalkan aksi relawan jokowi di senayan kenapa "
"571","nadegemarzan maryshelparaiso itu semua berkat kinerja pak jokowi yang sangat baik masyarakat bangga jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"572","jokowi malu lah pak maluuu"
"573","pemimpin itu tidak hobi ngutang luar negeri gimana betulkan "
"574","lulusan sma yg dpt rezeki nomplok dari jokowi utk pimpin kemenagri mmg segitu kapasitas seorg lulusan sma dlm menata kata coba temanya tentang deradikalisme pasti dia lancar radikalradikul kodrankadrun sesuai keahliannya bersama buzzerplaknat pendukung rezim lainnya "
"575","alisyarief ngutang sama china juga bakteri bisa menyebabkan kematian mati terlilit hutang cc jokowi"
"576","sebut jokowi anugerah terindah dari tuhan brigade dukung ganjar lanjutkan estafet kepemimpinan "
"577","wagimandeep jokowi kerupuk jg rupanya"
"578","jokowi tolong boss jadilah presiden utk semua rakyat indonesia bukan presiden utk kelompok andakata pembantu anda gbk jgn di pakai krn utk piala dunia u eh kenapa sampeyan malah memakainyaapakah sampeaan waras"
"579","karsono niluhdjelantik jokowi literasinya diperbaiki lagi dong mambaca status saja tdk paham makanya jgn terlalu beni biar akal tetap bisa dipakai"
"580","presiden jokowi sangat menghargai pondok pesantren jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur ganjarpilihanjokowi "
"581","jokowi pilih pemimpin yg hati jangan sampai terulang lagi "
"582","hayo nasdem segera angkat kaki dan keluar dari kabinet pak jokowi lbh terhormat daripada di tendang keluar akan terhina gentlemanlahsegera angkat kaki "
"583","oposisicerdas aku lihat raut muka jokowi kayaknya sediiih banget dg wajah inosennya waktu kunjungan ke cianjur ternyata aku kena tipu beda banget saat acara di gbk sumringah dg raut muka sombong sambil senyum sana sini"
"584","jokowi salam periode indonesia maju bersama bpk presiden jokowi beserta jajarannya semoga sehat selalu dan panjang umur sukses indonesia "
"585","jokowi gue orang katholik tapi kalau di tipu gini juga pasti kesel lah orang yg dateng pasti makin jijik sama bapak dan pak ganjarpranowo"
"586","urrangawak berarti pak jokowi menegaskan bahwa dia tidak bersih krn di wajahnya ada kerutan    "
"587","keuangannewsid atas nama rakyat indonesia kami setuju pak jokowi periodeape loape loape lo "
"588","micheladaml micheladam terkena prang jokowi kirain mau istigosah zikir bersama mendoakan yg terkena musibah gempa bumi cianjur ehhh tah tahunya di kasih goyang an inul daratista  rakyatlebihcintaanies rakyatlebihcintaanies "
"589","bachrumachmadi lebih para majikanmu belum resmi jadi capres sudah kampanye wara wiri tebar pesona tanpa rasa empati kepada warga yg tertimpa musibah gempajokowi masih kesana memastikankorban mendapat bantuan yg cukupdasar hatoban yaman paling pintar mengadili orang"
"590","gerakan nusantara dibawah komando jokowi siap galang dana untuk gempa cianjur jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur ganjarpilihanjokowi "
"591","clara listyosigitp setkabgoid jokowi mohmahfudmd ridwankamil bimaaryas takut gak dapet setoran dr ormasnya"
"592","iya maleslah buka munas politik identitas yg bikin alergi jokowi "
"593","kemenpu owh ini yg dimaksud jokowi calon presiden"
"594","andisinulingga bsnyak bedanyasnis kelebihan bayar pak jokowi nggak anis janji palsupak jokowi nggakanis jual pohon  di monaspak jokowi nggak anis pesan penghargaanpak jokowi nggak anis merubah nama jalanpak jokowi bangun jalan anis nggak becus kerjapak jokowi pinter kerja "
"595","waan chusnulch jokowi dara antek pki boneka oligarki cebong goblok dibodoh hin petruk mau aja dibayar ribu dkasih makan hilang sudah empati kpd sodaranya yg terkena bencana uang milyar dibuang percuma untuk promosi si raja bokep setan asli klean"
"596","jdobos bennyharmanid contoh pendukung anies yg militan dan fanatik aniesbaswedan aniesfor ganjarpranowo jokowi sutanmangara bachrumachmadi oposisicerdas geloraco mdyasmara tatakujiyati ekowboy musniumar musniumarr geiszchalifah sbyudhoyono kompastv tvonenews metrotvtoday"
"597","bradharizz jokowi apa hebatnya bisa kumpulin masa di monas kalau di pemilu kalian kalah jangan banyak lagak kalian itu minoritas yg lagak nya menjijikan"
"598","insan ah yang benar dahsyat mana hinaan pak sby dengan pak jokowipak sby cucu nabi tidak pernah menghinamasih unggul pak jokowi bisa di hina cucu nabi"
"599","andisinulingga jokowi loe seujung taik kukunya jokowi aja kagak ada otak loe mampet itulah kehebatan jokowi dlm berpolitik cek ombakngarti kagak loecek ombak"
"600","nirmala mansyuli chusnulch jokowi peserta pun karena tidak paham soal pintu akhirnya di kadruni sama cebong betina"
"601","bobichsan jokowi pernah dnger narasi jokowi berisi yo ndak bakal ada lhawong kosong"
"602","andiarief ente ini sibuk mikirin jokowi ajaente pikirin tuh rencana koalisi pleciden plecidenan yang masih berantakan acak kadut"
